Titik,X,Y,Latitude,Longitude
"1","0","0","-6.687503","104.97917"
"2","0","1","-6.687503","105.02084"
"3","0","2","-6.687503","105.06251"
"4","0","3","-6.687503","105.10417"
"5","0","4","-6.687503","105.14584"
"6","0","5","-6.687503","105.18751"
"7","0","6","-6.687503","105.22917"
"8","0","7","-6.687503","105.27084"
"9","0","8","-6.687503","105.31251"
"11","0","10","-6.687503","105.39584"
"12","0","11","-6.687503","105.43751"
"13","0","12","-6.687503","105.47917"
"14","0","13","-6.687503","105.52084"
"506","1","0","-6.7291694","104.97917"
"507","1","1","-6.7291694","105.02084"
"508","1","2","-6.7291694","105.06251"
"509","1","3","-6.7291694","105.10417"
"510","1","4","-6.7291694","105.14584"
"511","1","5","-6.7291694","105.18751"
"512","1","6","-6.7291694","105.22917"
"513","1","7","-6.7291694","105.27084"
"516","1","10","-6.7291694","105.39584"
"517","1","11","-6.7291694","105.43751"
"518","1","12","-6.7291694","105.47917"
"1013","2","2","-6.7708364","105.06251"
"1014","2","3","-6.7708364","105.10417"
"1015","2","4","-6.7708364","105.14584"
"1016","2","5","-6.7708364","105.18751"
"1022","2","11","-6.7708364","105.43751"
"1023","2","12","-6.7708364","105.47917"
"1521","3","5","-6.812503","105.18751"
"1522","3","6","-6.812503","105.22917"
"1524","3","8","-6.812503","105.31251"
"1525","3","9","-6.812503","105.35417"
"1528","3","12","-6.812503","105.47917"
"1540","3","24","-6.812503","105.97917"
"2027","4","6","-6.8541694","105.22917"
"2028","4","7","-6.8541694","105.27084"
"2029","4","8","-6.8541694","105.31251"
"2030","4","9","-6.8541694","105.35417"
"2031","4","10","-6.8541694","105.39584"
"2032","4","11","-6.8541694","105.43751"
"2036","4","15","-6.8541694","105.60417"
"2037","4","16","-6.8541694","105.64584"
"2038","4","17","-6.8541694","105.68751"
"2039","4","18","-6.8541694","105.72917"
"2040","4","19","-6.8541694","105.77084"
"2041","4","20","-6.8541694","105.81251"
"2042","4","21","-6.8541694","105.85417"
"2043","4","22","-6.8541694","105.89584"
"2044","4","23","-6.8541694","105.93751"
"2045","4","24","-6.8541694","105.97917"
"2046","4","25","-6.8541694","106.02084"
"2047","4","26","-6.8541694","106.06251"
"2534","5","8","-6.8958364","105.31251"
"2535","5","9","-6.8958364","105.35417"
"2536","5","10","-6.8958364","105.39584"
"2537","5","11","-6.8958364","105.43751"
"2538","5","12","-6.8958364","105.47917"
"2539","5","13","-6.8958364","105.52084"
"2540","5","14","-6.8958364","105.56251"
"2541","5","15","-6.8958364","105.60417"
"2542","5","16","-6.8958364","105.64584"
"2543","5","17","-6.8958364","105.68751"
"2544","5","18","-6.8958364","105.72917"
"2545","5","19","-6.8958364","105.77084"
"2546","5","20","-6.8958364","105.81251"
"2547","5","21","-6.8958364","105.85417"
"2548","5","22","-6.8958364","105.89584"
"2549","5","23","-6.8958364","105.93751"
"2550","5","24","-6.8958364","105.97917"
"2551","5","25","-6.8958364","106.02084"
"2552","5","26","-6.8958364","106.06251"
"2553","5","27","-6.8958364","106.10417"
"3041","6","10","-6.937503","105.39584"
"3052","6","21","-6.937503","105.85417"
"3053","6","22","-6.937503","105.89584"
"3054","6","23","-6.937503","105.93751"
"3055","6","24","-6.937503","105.97917"
"3056","6","25","-6.937503","106.02084"
"3057","6","26","-6.937503","106.06251"
"3058","6","27","-6.937503","106.10417"
"3059","6","28","-6.937503","106.14584"
"3060","6","29","-6.937503","106.18751"
"3061","6","30","-6.937503","106.22917"
"3558","7","22","-6.9791694","105.89584"
"3559","7","23","-6.9791694","105.93751"
"3560","7","24","-6.9791694","105.97917"
"3561","7","25","-6.9791694","106.02084"
"3562","7","26","-6.9791694","106.06251"
"3563","7","27","-6.9791694","106.10417"
"3564","7","28","-6.9791694","106.14584"
"3565","7","29","-6.9791694","106.18751"
"3566","7","30","-6.9791694","106.22917"
"3567","7","31","-6.9791694","106.27084"
"3571","7","35","-6.9791694","106.43751"
"3572","7","36","-6.9791694","106.47917"
"3573","7","37","-6.9791694","106.52084"
"4064","8","23","-7.0208364","105.93751"
"4065","8","24","-7.0208364","105.97917"
"4066","8","25","-7.0208364","106.02084"
"4067","8","26","-7.0208364","106.06251"
"4068","8","27","-7.0208364","106.10417"
"4069","8","28","-7.0208364","106.14584"
"4070","8","29","-7.0208364","106.18751"
"4071","8","30","-7.0208364","106.22917"
"4072","8","31","-7.0208364","106.27084"
"4073","8","32","-7.0208364","106.31251"
"4074","8","33","-7.0208364","106.35417"
"4075","8","34","-7.0208364","106.39584"
"4076","8","35","-7.0208364","106.43751"
"4077","8","36","-7.0208364","106.47917"
"4078","8","37","-7.0208364","106.52084"
"4571","9","25","-7.062503","106.02084"
"4572","9","26","-7.062503","106.06251"
"4573","9","27","-7.062503","106.10417"
"4574","9","28","-7.062503","106.14584"
"4575","9","29","-7.062503","106.18751"
"4576","9","30","-7.062503","106.22917"
"4577","9","31","-7.062503","106.27084"
"4578","9","32","-7.062503","106.31251"
"4579","9","33","-7.062503","106.35417"
"4580","9","34","-7.062503","106.39584"
"4581","9","35","-7.062503","106.43751"
"4582","9","36","-7.062503","106.47917"
"4583","9","37","-7.062503","106.52084"
"5078","10","27","-7.1041694","106.10417"
"5079","10","28","-7.1041694","106.14584"
"5080","10","29","-7.1041694","106.18751"
"5081","10","30","-7.1041694","106.22917"
"5082","10","31","-7.1041694","106.27084"
"5083","10","32","-7.1041694","106.31251"
"5084","10","33","-7.1041694","106.35417"
"5085","10","34","-7.1041694","106.39584"
"5086","10","35","-7.1041694","106.43751"
